F,GM,NVDA,ALB,QCOM
1.008046,0.974244,0.9908769,0.99322534,1.0080643
0.9916092,0.98635626,0.98767257,0.9971672,1.0070847
0.9862842,0.99954885,0.99616194,1.0020826,1.0057632
0.9965876,1.0027078,1.0021182,1.0022312,1.0031002
0.9993538,1.0009466,1.0081131,1.0020251,1.0050776
1.0108728,1.0044645,1.0061585,0.9946364,1.0011219
0.99834883,1.0053203,1.0064343,1.0148758,0.9889129
0.9934094,1.001564,1.0088356,0.99929255,0.99589217
0.99627334,1.0034804,1.0187885,0.99803966,1.0199397
0.98361105,0.9884398,0.99535,1.0023739,1.0000982
1.017714,0.9766059,0.98195314,1.0072044,0.98674595
0.9998529,0.97758025,0.9887693,1.0021787,1.0134234
0.9854462,1.0001327,0.99324965,0.9897363,1.0384045
0.9872506,0.9926671,1.0004903,0.99331945,0.981414
0.9940282,1.0044717,1.0016817,1.0253983,0.97596204
1.0017418,1.0130699,0.9976799,0.9811406,0.96113634
1.0062698,0.98065186,0.99280435,0.99647486,0.99363655
1.0119436,0.9884096,0.9964133,0.9947691,0.99093693
1.0039002,0.9901698,1.0119262,0.9954394,0.9805785
0.9962193,1.0026757,0.9951392,1.0194323,0.9969121
0.99174464,1.0026574,0.9567739,0.9809695,0.99500865
0.9905983,1.0093302,0.9970704,0.9820975,0.99397355
1.0091755,1.0010173,1.0070579,1.0341021,1.0158094
0.9993257,0.9877391,1.0142684,1.0090878,1.0090057
0.99377483,0.9875791,1.0024247,0.9827449,0.9886401
0.9960774,1.0159694,1.0035375,1.0006138,0.9867801
0.98962283,1.0026469,0.9938418,1.0174782,1.002906
1.002527,1.0065644,0.9969197,0.9955358,1.0031447
1.0057722,1.010766,1.0133796,0.99967706,0.9907528
0.9973961,1.0086741,0.99717706,0.98697066,0.99424505
0.9966518,1.0008329,1.0069971,1.0014011,1.0025288
0.98258257,1.0344433,1.0355607,1.0014389,0.9982694
0.97648466,1.0273509,1.0453614,1.0138462,1.0040289
0.999951,0.96290374,1.0006776,0.98045677,1.0078434
0.99469525,0.9894316,1.0228683,1.0131843,1.0189211
1.0052325,1.0272796,1.0364947,1.0214785,1.0165117
1.0225,0.97803545,1.010178,1.0102313,1.0035245
0.99631727,0.9781324,0.9940602,1.0034544,0.99683976
0.97559625,1.0098444,0.99018735,0.9941781,1.0026073
0.988621,0.99098194,0.99010676,0.998654,1.0124831
1.0019577,0.9907815,0.9861584,1.0002742,1.0004488
